tokenId,plotId,color,level,grade,grade type,grade value,age,owner
70022,126,1,1,16815062,1,37846,0,0x56f6bf6B793713C050Fd02147a45b563Bb4D8eFa
70023,126,2,1,17031057,1,253841,0,0x56f6bf6B793713C050Fd02147a45b563Bb4D8eFa
70024,127,10,1,68054275,4,945411,534087,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
70025,127,10,2,17193788,1,416572,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
70026,127,9,1,17401770,1,624554,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
70027,128,1,2,34015689,2,461257,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
70028,128,9,1,67433559,4,324695,534087,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
70029,128,2,1,33614877,2,60445,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
70030,129,9,1,33887759,2,333327,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
70031,129,1,1,34308207,2,753775,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
70032,129,2,2,68086663,4,977799,534087,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
70033,129,2,1,33739118,2,184686,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
70034,130,10,1,17232242,1,455026,0,0x56f6bf6B793713C050Fd02147a45b563Bb4D8eFa
70035,130,10,2,67724901,4,616037,534087,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
70036,130,10,1,17579716,1,802500,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
70037,131,9,2,34416097,2,861665,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
70038,131,9,1,67946366,4,837502,534087,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
70039,131,2,1,17121570,1,344354,0,0xFEfBdC19a0d855a8b9bBf79144BC32Cc7EedA019
70040,132,1,1,67669940,4,561076,534087,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
